timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 06:51:03.092, 0, 5.30, 52, 0
2026/02/13 06:51:04.105, 0, 5.19, 51, 0
2026/02/13 06:51:05.106, 0, 5.32, 51, 0
2026/02/13 06:51:06.106, 0, 5.32, 51, 0
2026/02/13 06:51:07.106, 0, 5.32, 51, 0
2026/02/13 06:51:08.107, 0, 5.17, 50, 0
2026/02/13 06:51:09.108, 0, 5.26, 50, 0
2026/02/13 06:51:10.108, 0, 5.51, 50, 1
2026/02/13 06:51:11.108, 0, 12.30, 50, 1
2026/02/13 06:51:12.108, 0, 12.18, 50, 0
2026/02/13 06:51:13.109, 0, 12.55, 50, 1
2026/02/13 06:51:14.109, 0, 12.56, 50, 1
2026/02/13 06:51:15.109, 0, 12.50, 50, 1
2026/02/13 06:51:16.109, 0, 12.46, 50, 1
2026/02/13 06:51:17.109, 0, 12.50, 49, 1
2026/02/13 06:51:18.109, 0, 12.49, 49, 1
2026/02/13 06:51:19.110, 0, 12.49, 49, 1
2026/02/13 06:51:20.110, 0, 12.46, 49, 1
2026/02/13 06:51:21.110, 0, 12.45, 49, 1
2026/02/13 06:51:22.110, 0, 12.44, 49, 1
2026/02/13 06:51:23.110, 0, 12.42, 49, 2
2026/02/13 06:51:24.111, 0, 12.42, 49, 1
2026/02/13 06:51:25.111, 0, 12.44, 49, 1
2026/02/13 06:51:26.111, 0, 12.45, 49, 2
2026/02/13 06:51:27.111, 0, 12.44, 48, 2
2026/02/13 06:51:28.111, 0, 12.41, 48, 2
2026/02/13 06:51:29.112, 0, 12.39, 48, 1
2026/02/13 06:51:30.112, 0, 12.41, 48, 1
2026/02/13 06:51:31.112, 0, 12.34, 48, 1
2026/02/13 06:51:32.112, 0, 12.36, 48, 1
2026/02/13 06:51:33.112, 0, 12.37, 48, 1
2026/02/13 06:51:34.112, 0, 12.36, 48, 1
2026/02/13 06:51:35.113, 0, 12.38, 48, 1
2026/02/13 06:51:36.113, 0, 12.35, 48, 1
2026/02/13 06:51:37.113, 0, 12.32, 48, 1
2026/02/13 06:51:38.113, 0, 12.35, 47, 2
2026/02/13 06:51:39.114, 0, 12.31, 47, 1
2026/02/13 06:51:40.114, 0, 12.29, 47, 1
2026/02/13 06:51:41.115, 0, 12.28, 47, 1
2026/02/13 06:51:42.115, 0, 12.24, 47, 1
2026/02/13 06:51:43.115, 0, 12.27, 47, 2
2026/02/13 06:51:44.116, 0, 12.26, 47, 2
2026/02/13 06:51:45.116, 0, 12.27, 47, 1
2026/02/13 06:51:46.116, 0, 12.26, 47, 1
2026/02/13 06:51:47.116, 0, 12.26, 47, 2
2026/02/13 06:51:48.117, 0, 12.18, 47, 1
2026/02/13 06:51:49.117, 0, 12.16, 47, 2
2026/02/13 06:51:50.117, 0, 12.14, 47, 1
2026/02/13 06:51:51.117, 0, 12.17, 47, 1
2026/02/13 06:51:52.117, 0, 12.15, 47, 1
2026/02/13 06:51:53.118, 0, 12.17, 47, 1
2026/02/13 06:51:54.118, 0, 12.17, 46, 2
2026/02/13 06:51:55.118, 0, 12.15, 46, 2
2026/02/13 06:51:56.118, 0, 12.14, 46, 1
2026/02/13 06:51:57.118, 0, 12.13, 46, 1
2026/02/13 06:51:58.118, 0, 12.16, 46, 1
2026/02/13 06:51:59.119, 0, 12.18, 46, 1
