timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 18:42:32.537, 0, 4.67, 38, 0
2026/02/13 18:42:33.544, 0, 4.74, 38, 0
2026/02/13 18:42:34.544, 0, 4.74, 38, 0
2026/02/13 18:42:35.544, 0, 4.66, 38, 0
2026/02/13 18:42:36.545, 0, 4.68, 38, 0
2026/02/13 18:42:37.545, 0, 4.64, 38, 0
2026/02/13 18:42:38.545, 0, 4.62, 38, 0
2026/02/13 18:42:39.545, 0, 4.66, 39, 0
2026/02/13 18:42:40.545, 0, 4.78, 39, 0
2026/02/13 18:42:41.545, 0, 5.12, 39, 0
2026/02/13 18:42:42.545, 0, 5.66, 39, 0
2026/02/13 18:42:43.546, 0, 5.30, 39, 0
2026/02/13 18:42:44.546, 0, 5.05, 39, 0
2026/02/13 18:42:45.546, 0, 5.02, 39, 0
2026/02/13 18:42:46.546, 0, 4.61, 39, 0
2026/02/13 18:42:47.546, 0, 4.65, 39, 0
2026/02/13 18:42:48.546, 0, 4.65, 39, 0
2026/02/13 18:42:49.546, 0, 4.65, 39, 0
2026/02/13 18:42:50.547, 0, 4.58, 39, 0
2026/02/13 18:42:51.547, 0, 4.60, 39, 0
2026/02/13 18:42:52.547, 0, 4.64, 39, 0
2026/02/13 18:42:53.547, 0, 4.65, 39, 0
2026/02/13 18:42:54.547, 0, 4.67, 39, 0
2026/02/13 18:42:55.547, 0, 4.68, 39, 0
2026/02/13 18:42:56.547, 0, 4.65, 39, 0
2026/02/13 18:42:57.548, 0, 4.67, 39, 0
2026/02/13 18:42:58.548, 0, 4.68, 39, 0
2026/02/13 18:42:59.548, 0, 4.69, 39, 0
2026/02/13 18:43:00.548, 0, 4.65, 38, 0
2026/02/13 18:43:01.549, 0, 4.67, 38, 0
2026/02/13 18:43:02.549, 0, 4.69, 39, 0
2026/02/13 18:43:03.549, 0, 4.63, 38, 0
2026/02/13 18:43:04.549, 0, 4.57, 38, 0
2026/02/13 18:43:05.549, 0, 4.58, 38, 0
2026/02/13 18:43:06.550, 0, 4.60, 38, 0
2026/02/13 18:43:07.550, 0, 4.61, 38, 0
2026/02/13 18:43:08.550, 0, 4.65, 38, 0
2026/02/13 18:43:09.551, 0, 4.71, 38, 0
2026/02/13 18:43:10.551, 0, 4.66, 38, 0
2026/02/13 18:43:11.551, 0, 4.65, 38, 0
2026/02/13 18:43:12.551, 0, 4.65, 38, 0
2026/02/13 18:43:13.551, 0, 4.63, 38, 0
2026/02/13 18:43:14.551, 0, 4.58, 38, 0
2026/02/13 18:43:15.552, 0, 4.59, 38, 0
2026/02/13 18:43:16.552, 0, 4.61, 38, 0
2026/02/13 18:43:17.552, 0, 4.62, 38, 0
2026/02/13 18:43:18.552, 0, 4.59, 38, 0
2026/02/13 18:43:19.552, 0, 4.60, 38, 0
2026/02/13 18:43:20.552, 0, 4.65, 38, 0
2026/02/13 18:43:21.553, 0, 4.65, 38, 0
2026/02/13 18:43:22.553, 0, 4.66, 38, 0
2026/02/13 18:43:23.553, 0, 4.74, 38, 0
2026/02/13 18:43:24.553, 0, 4.58, 38, 0
2026/02/13 18:43:25.553, 0, 4.62, 38, 0
2026/02/13 18:43:26.553, 0, 4.61, 38, 0
2026/02/13 18:43:27.553, 0, 4.62, 38, 0
2026/02/13 18:43:28.554, 0, 4.61, 38, 0
2026/02/13 18:43:29.554, 0, 4.59, 38, 0
2026/02/13 18:43:30.554, 0, 4.64, 38, 0
2026/02/13 18:43:31.554, 0, 4.63, 38, 0
2026/02/13 18:43:32.554, 0, 4.66, 38, 0
2026/02/13 18:43:33.555, 0, 4.68, 38, 0
2026/02/13 18:43:34.555, 0, 4.73, 38, 0
2026/02/13 18:43:35.555, 0, 4.72, 38, 0
2026/02/13 18:43:36.555, 0, 4.68, 38, 0
2026/02/13 18:43:37.555, 0, 4.75, 38, 0
2026/02/13 18:43:38.555, 0, 4.75, 38, 0
2026/02/13 18:43:39.556, 0, 4.71, 38, 0
2026/02/13 18:43:40.556, 0, 4.68, 38, 0
2026/02/13 18:43:41.556, 0, 4.70, 38, 0
2026/02/13 18:43:42.556, 0, 4.69, 38, 0
2026/02/13 18:43:43.557, 0, 4.70, 38, 0
2026/02/13 18:43:44.557, 0, 4.67, 38, 0
2026/02/13 18:43:45.557, 0, 4.67, 38, 0
2026/02/13 18:43:46.557, 0, 4.65, 38, 0
2026/02/13 18:43:47.557, 0, 4.64, 38, 0
2026/02/13 18:43:48.557, 0, 4.64, 38, 0
2026/02/13 18:43:49.558, 0, 4.64, 38, 0
2026/02/13 18:43:50.558, 0, 4.62, 38, 0
2026/02/13 18:43:51.558, 0, 4.60, 38, 0
2026/02/13 18:43:52.559, 0, 4.61, 38, 0
2026/02/13 18:43:53.559, 0, 4.58, 38, 0
2026/02/13 18:43:54.559, 0, 4.56, 38, 0
2026/02/13 18:43:55.559, 0, 4.58, 38, 0
2026/02/13 18:43:56.560, 0, 4.61, 38, 0
2026/02/13 18:43:57.560, 0, 4.63, 38, 0
2026/02/13 18:43:58.560, 0, 4.60, 38, 0
2026/02/13 18:43:59.560, 0, 4.63, 38, 0
2026/02/13 18:44:00.560, 0, 4.63, 38, 0
2026/02/13 18:44:01.561, 0, 4.63, 38, 0
2026/02/13 18:44:02.561, 0, 4.64, 38, 0
2026/02/13 18:44:03.561, 0, 4.58, 38, 0
2026/02/13 18:44:04.561, 0, 4.58, 38, 0
2026/02/13 18:44:05.561, 0, 4.64, 38, 0
2026/02/13 18:44:06.562, 0, 4.69, 38, 0
2026/02/13 18:44:07.562, 0, 4.64, 38, 0
2026/02/13 18:44:08.562, 0, 4.62, 38, 0
2026/02/13 18:44:09.562, 0, 4.61, 38, 0
2026/02/13 18:44:10.562, 0, 4.60, 38, 0
2026/02/13 18:44:11.562, 0, 4.63, 38, 0
2026/02/13 18:44:12.563, 0, 4.69, 38, 0
2026/02/13 18:44:13.563, 0, 4.71, 38, 0
2026/02/13 18:44:14.563, 0, 4.63, 38, 0
2026/02/13 18:44:15.564, 0, 4.66, 38, 0
2026/02/13 18:44:16.564, 0, 4.66, 38, 0
2026/02/13 18:44:17.564, 0, 4.66, 38, 0
2026/02/13 18:44:18.564, 0, 4.66, 38, 0
2026/02/13 18:44:19.565, 0, 4.64, 38, 0
2026/02/13 18:44:20.565, 0, 4.72, 38, 0
2026/02/13 18:44:21.565, 0, 4.73, 38, 0
2026/02/13 18:44:22.565, 0, 4.67, 38, 0
2026/02/13 18:44:23.565, 0, 4.66, 38, 0
2026/02/13 18:44:24.565, 0, 4.68, 38, 0
2026/02/13 18:44:25.566, 0, 4.64, 38, 0
2026/02/13 18:44:26.566, 0, 4.58, 38, 0
2026/02/13 18:44:27.566, 0, 4.65, 38, 0
2026/02/13 18:44:28.566, 0, 4.66, 38, 0
2026/02/13 18:44:29.566, 0, 4.59, 38, 0
2026/02/13 18:44:30.566, 0, 4.71, 38, 0
2026/02/13 18:44:31.566, 0, 4.73, 38, 0
2026/02/13 18:44:32.567, 0, 4.74, 38, 0
2026/02/13 18:44:33.567, 0, 4.60, 38, 0
2026/02/13 18:44:34.567, 0, 4.58, 38, 0
2026/02/13 18:44:35.567, 0, 4.61, 38, 0
2026/02/13 18:44:36.567, 0, 4.60, 38, 0
2026/02/13 18:44:37.568, 0, 4.64, 38, 0
2026/02/13 18:44:38.568, 0, 4.60, 38, 0
2026/02/13 18:44:39.568, 0, 4.57, 38, 0
