timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 09:09:37.819, 0, 5.32, 53, 0
2026/02/13 09:09:38.827, 0, 5.31, 52, 0
2026/02/13 09:09:39.827, 0, 5.32, 52, 0
2026/02/13 09:09:40.827, 0, 5.30, 52, 0
2026/02/13 09:09:41.827, 0, 5.23, 51, 0
2026/02/13 09:09:42.828, 0, 5.28, 51, 0
2026/02/13 09:09:43.828, 0, 5.28, 51, 0
2026/02/13 09:09:44.828, 0, 5.89, 51, 0
2026/02/13 09:09:45.828, 0, 12.42, 51, 0
2026/02/13 09:09:46.829, 0, 12.49, 51, 1
2026/02/13 09:09:47.829, 0, 12.74, 51, 1
2026/02/13 09:09:48.829, 0, 12.72, 51, 2
2026/02/13 09:09:49.829, 0, 12.69, 51, 1
2026/02/13 09:09:50.829, 0, 12.66, 51, 2
2026/02/13 09:09:51.830, 0, 12.64, 51, 2
2026/02/13 09:09:52.830, 0, 12.68, 50, 2
2026/02/13 09:09:53.830, 0, 12.64, 50, 2
2026/02/13 09:09:54.830, 0, 12.60, 50, 1
2026/02/13 09:09:55.830, 0, 12.56, 50, 1
2026/02/13 09:09:56.830, 0, 12.56, 50, 2
2026/02/13 09:09:57.830, 0, 12.54, 50, 2
2026/02/13 09:09:58.831, 0, 12.56, 50, 1
2026/02/13 09:09:59.831, 0, 12.54, 50, 1
2026/02/13 09:10:00.831, 0, 12.58, 50, 2
2026/02/13 09:10:01.831, 0, 12.52, 50, 2
2026/02/13 09:10:02.831, 0, 12.54, 49, 2
2026/02/13 09:10:03.831, 0, 12.53, 49, 2
2026/02/13 09:10:04.832, 0, 12.51, 49, 2
2026/02/13 09:10:05.832, 0, 12.51, 49, 2
2026/02/13 09:10:06.832, 0, 12.40, 49, 1
2026/02/13 09:10:07.832, 0, 12.49, 49, 2
2026/02/13 09:10:08.833, 0, 12.47, 49, 2
2026/02/13 09:10:09.833, 0, 12.44, 49, 2
2026/02/13 09:10:10.833, 0, 12.46, 49, 2
2026/02/13 09:10:11.833, 0, 12.42, 49, 2
2026/02/13 09:10:12.833, 0, 12.42, 48, 2
2026/02/13 09:10:13.834, 0, 12.45, 48, 2
2026/02/13 09:10:14.834, 0, 12.44, 48, 2
2026/02/13 09:10:15.834, 0, 12.42, 48, 2
2026/02/13 09:10:16.834, 0, 12.40, 48, 2
2026/02/13 09:10:17.835, 0, 12.40, 48, 2
2026/02/13 09:10:18.835, 0, 12.44, 48, 2
2026/02/13 09:10:19.835, 0, 12.41, 48, 2
2026/02/13 09:10:20.835, 0, 12.39, 48, 2
2026/02/13 09:10:21.835, 0, 12.36, 48, 1
2026/02/13 09:10:22.836, 0, 12.40, 48, 1
2026/02/13 09:10:23.836, 0, 12.36, 48, 3
2026/02/13 09:10:24.836, 0, 12.36, 48, 2
2026/02/13 09:10:25.836, 0, 12.28, 48, 2
2026/02/13 09:10:26.836, 0, 12.35, 47, 2
2026/02/13 09:10:27.837, 0, 12.33, 47, 2
2026/02/13 09:10:28.837, 0, 12.30, 47, 2
2026/02/13 09:10:29.837, 0, 12.29, 47, 2
2026/02/13 09:10:30.837, 0, 12.27, 47, 2
2026/02/13 09:10:31.837, 0, 12.28, 47, 2
2026/02/13 09:10:32.838, 0, 12.30, 47, 2
2026/02/13 09:10:33.838, 0, 12.27, 47, 1
2026/02/13 09:10:34.838, 0, 12.27, 47, 2
2026/02/13 09:10:35.838, 0, 12.24, 47, 2
2026/02/13 09:10:36.838, 0, 12.25, 47, 2
2026/02/13 09:10:37.838, 0, 12.26, 47, 2
2026/02/13 09:10:38.839, 0, 12.21, 47, 2
2026/02/13 09:10:39.839, 0, 12.20, 47, 2
2026/02/13 09:10:40.839, 0, 12.19, 47, 1
2026/02/13 09:10:41.839, 0, 12.18, 47, 1
2026/02/13 09:10:42.839, 0, 12.21, 47, 2
2026/02/13 09:10:43.840, 0, 12.16, 46, 2
2026/02/13 09:10:44.840, 0, 12.15, 46, 2
2026/02/13 09:10:45.840, 0, 12.20, 46, 2
2026/02/13 09:10:46.840, 0, 12.15, 46, 2
2026/02/13 09:10:47.840, 0, 12.19, 46, 2
2026/02/13 09:10:48.841, 0, 12.17, 46, 1
2026/02/13 09:10:49.841, 0, 12.22, 46, 1
2026/02/13 09:10:50.841, 0, 12.22, 46, 1
2026/02/13 09:10:51.841, 0, 12.19, 46, 2
2026/02/13 09:10:52.841, 0, 12.22, 46, 1
2026/02/13 09:10:53.842, 0, 12.19, 46, 2
2026/02/13 09:10:54.842, 0, 12.19, 46, 2
2026/02/13 09:10:55.842, 0, 12.19, 46, 2
2026/02/13 09:10:56.842, 0, 12.17, 46, 2
2026/02/13 09:10:57.842, 0, 12.12, 46, 1
2026/02/13 09:10:58.843, 0, 12.15, 46, 2
2026/02/13 09:10:59.843, 0, 12.15, 46, 2
2026/02/13 09:11:00.843, 0, 12.18, 46, 2
2026/02/13 09:11:01.843, 0, 12.16, 46, 1
2026/02/13 09:11:02.843, 0, 12.17, 46, 2
2026/02/13 09:11:03.844, 0, 12.18, 46, 1
2026/02/13 09:11:04.844, 0, 12.20, 46, 2
2026/02/13 09:11:05.844, 0, 12.16, 45, 2
2026/02/13 09:11:06.844, 0, 11.92, 45, 2
2026/02/13 09:11:07.844, 0, 11.72, 45, 0
2026/02/13 09:11:08.844, 0, 11.77, 45, 0
2026/02/13 09:11:09.845, 0, 37.45, 54, 0
2026/02/13 09:11:10.845, 0, 61.42, 49, 93
2026/02/13 09:11:11.845, 0, 13.01, 46, 2
2026/02/13 09:11:12.845, 0, 13.67, 46, 22
2026/02/13 09:11:13.846, 0, 13.69, 46, 17
2026/02/13 09:11:14.846, 0, 12.70, 46, 0
2026/02/13 09:11:15.846, 0, 13.05, 46, 0
2026/02/13 09:11:16.846, 0, 56.11, 54, 96
2026/02/13 09:11:17.846, 0, 62.24, 53, 96
2026/02/13 09:11:18.847, 0, 49.61, 51, 86
2026/02/13 09:11:19.847, 0, 42.58, 53, 87
2026/02/13 09:11:20.848, 0, 36.46, 51, 84
2026/02/13 09:11:21.848, 0, 29.83, 50, 71
2026/02/13 09:11:22.849, 0, 37.01, 52, 88
2026/02/13 09:11:23.849, 0, 36.23, 52, 76
2026/02/13 09:11:24.849, 0, 30.49, 51, 88
2026/02/13 09:11:25.850, 0, 16.76, 49, 59
2026/02/13 09:11:26.850, 0, 66.44, 61, 96
