timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 02:46:01.361, 0, 5.50, 56, 0
2026/02/13 02:46:02.370, 0, 5.48, 56, 0
2026/02/13 02:46:03.370, 0, 5.32, 56, 0
2026/02/13 02:46:04.371, 0, 5.32, 55, 0
2026/02/13 02:46:05.371, 0, 5.40, 55, 0
2026/02/13 02:46:06.371, 0, 5.35, 55, 0
2026/02/13 02:46:07.372, 0, 5.34, 55, 0
2026/02/13 02:46:08.372, 0, 5.36, 54, 0
2026/02/13 02:46:09.372, 0, 5.39, 54, 0
2026/02/13 02:46:10.373, 0, 5.31, 54, 0
2026/02/13 02:46:11.373, 0, 5.29, 54, 0
2026/02/13 02:46:12.374, 0, 9.27, 54, 0
2026/02/13 02:46:13.374, 0, 12.89, 54, 0
2026/02/13 02:46:14.374, 0, 12.74, 54, 0
2026/02/13 02:46:15.375, 0, 12.80, 54, 0
2026/02/13 02:46:16.375, 0, 13.19, 54, 2
2026/02/13 02:46:17.375, 0, 13.18, 53, 2
2026/02/13 02:46:18.375, 0, 13.17, 53, 2
2026/02/13 02:46:19.375, 0, 13.17, 53, 2
2026/02/13 02:46:20.376, 0, 13.01, 53, 2
2026/02/13 02:46:21.376, 0, 12.98, 53, 2
2026/02/13 02:46:22.376, 0, 12.97, 53, 2
2026/02/13 02:46:23.377, 0, 12.99, 53, 2
2026/02/13 02:46:24.378, 0, 12.96, 53, 2
2026/02/13 02:46:25.378, 0, 12.94, 53, 2
2026/02/13 02:46:26.378, 0, 12.95, 52, 2
2026/02/13 02:46:27.379, 0, 12.89, 52, 2
2026/02/13 02:46:28.379, 0, 12.91, 52, 2
2026/02/13 02:46:29.379, 0, 12.91, 52, 2
2026/02/13 02:46:30.379, 0, 12.86, 52, 2
2026/02/13 02:46:31.380, 0, 12.85, 52, 2
2026/02/13 02:46:32.380, 0, 12.82, 52, 2
2026/02/13 02:46:33.380, 0, 12.85, 52, 2
2026/02/13 02:46:34.380, 0, 12.74, 52, 1
2026/02/13 02:46:35.380, 0, 12.78, 52, 2
2026/02/13 02:46:36.381, 0, 12.71, 51, 2
2026/02/13 02:46:37.381, 0, 12.66, 51, 2
2026/02/13 02:46:38.381, 0, 12.67, 51, 2
2026/02/13 02:46:39.381, 0, 12.61, 51, 2
2026/02/13 02:46:40.381, 0, 12.60, 51, 2
