timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/12 19:32:31.799, 0, 14.08, 61, 0
2026/02/12 19:32:32.803, 0, 9.06, 60, 0
2026/02/12 19:32:33.804, 0, 6.16, 60, 0
2026/02/12 19:32:34.804, 0, 6.16, 60, 0
2026/02/12 19:32:35.805, 0, 5.63, 59, 0
2026/02/12 19:32:36.805, 0, 5.59, 59, 0
2026/02/12 19:32:37.806, 0, 5.56, 59, 0
2026/02/12 19:32:38.806, 0, 5.58, 58, 0
2026/02/12 19:32:39.806, 0, 5.58, 58, 0
2026/02/12 19:32:40.807, 0, 5.64, 58, 0
2026/02/12 19:32:41.807, 0, 13.18, 58, 0
2026/02/12 19:32:42.807, 0, 13.31, 58, 1
2026/02/12 19:32:43.807, 0, 13.65, 58, 1
2026/02/12 19:32:44.807, 0, 13.64, 58, 1
2026/02/12 19:32:45.808, 0, 13.59, 58, 1
2026/02/12 19:32:46.808, 0, 13.60, 58, 2
2026/02/12 19:32:47.808, 0, 13.61, 57, 1
2026/02/12 19:32:48.808, 0, 13.59, 57, 1
2026/02/12 19:32:49.808, 0, 13.54, 57, 2
2026/02/12 19:32:50.808, 0, 13.55, 57, 2
2026/02/12 19:32:51.809, 0, 13.52, 57, 2
2026/02/12 19:32:52.809, 0, 13.46, 57, 2
2026/02/12 19:32:53.809, 0, 13.49, 57, 1
2026/02/12 19:32:54.809, 0, 13.48, 57, 1
2026/02/12 19:32:55.810, 0, 13.46, 56, 2
2026/02/12 19:32:56.810, 0, 13.37, 56, 1
2026/02/12 19:32:57.810, 0, 13.38, 56, 2
2026/02/12 19:32:58.810, 0, 13.35, 56, 2
2026/02/12 19:32:59.810, 0, 13.36, 56, 2
2026/02/12 19:33:00.811, 0, 13.38, 56, 1
2026/02/12 19:33:01.811, 0, 13.36, 56, 1
2026/02/12 19:33:02.811, 0, 13.33, 56, 0
2026/02/12 19:33:03.811, 0, 13.35, 56, 2
2026/02/12 19:33:04.811, 0, 13.35, 55, 1
2026/02/12 19:33:05.811, 0, 13.33, 55, 1
2026/02/12 19:33:06.812, 0, 13.28, 55, 2
2026/02/12 19:33:07.812, 0, 13.30, 55, 2
2026/02/12 19:33:08.812, 0, 13.29, 55, 2
2026/02/12 19:33:09.812, 0, 13.28, 55, 2
2026/02/12 19:33:10.812, 0, 13.28, 55, 1
2026/02/12 19:33:11.813, 0, 13.31, 55, 1
2026/02/12 19:33:12.813, 0, 13.26, 55, 1
2026/02/12 19:33:13.813, 0, 13.24, 55, 1
2026/02/12 19:33:14.813, 0, 13.19, 55, 1
2026/02/12 19:33:15.813, 0, 13.21, 54, 2
2026/02/12 19:33:16.814, 0, 13.20, 54, 1
2026/02/12 19:33:17.814, 0, 13.21, 54, 1
2026/02/12 19:33:18.814, 0, 13.20, 54, 1
2026/02/12 19:33:19.815, 0, 13.18, 54, 1
2026/02/12 19:33:20.815, 0, 13.15, 54, 2
2026/02/12 19:33:21.815, 0, 13.16, 54, 1
2026/02/12 19:33:22.815, 0, 13.10, 54, 2
2026/02/12 19:33:23.815, 0, 13.19, 54, 2
2026/02/12 19:33:24.816, 0, 13.19, 54, 2
2026/02/12 19:33:25.816, 0, 13.17, 54, 2
