timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 13:00:55.562, 0, 4.69, 38, 0
2026/02/13 13:00:56.569, 0, 4.71, 38, 0
2026/02/13 13:00:57.569, 0, 4.68, 38, 0
2026/02/13 13:00:58.569, 0, 4.63, 38, 0
2026/02/13 13:00:59.570, 0, 4.69, 38, 0
2026/02/13 13:01:00.570, 0, 4.74, 38, 0
2026/02/13 13:01:01.570, 0, 4.79, 38, 0
2026/02/13 13:01:02.570, 0, 4.76, 38, 0
2026/02/13 13:01:03.571, 0, 4.80, 38, 0
2026/02/13 13:01:04.572, 0, 4.84, 38, 0
2026/02/13 13:01:05.572, 0, 4.74, 38, 0
2026/02/13 13:01:06.572, 0, 4.69, 38, 0
2026/02/13 13:01:07.572, 0, 4.71, 38, 0
2026/02/13 13:01:08.572, 0, 4.68, 38, 0
2026/02/13 13:01:09.573, 0, 4.65, 38, 0
2026/02/13 13:01:10.573, 0, 4.64, 38, 0
2026/02/13 13:01:11.573, 0, 4.62, 38, 0
2026/02/13 13:01:12.573, 0, 4.63, 38, 0
2026/02/13 13:01:13.573, 0, 4.68, 38, 0
2026/02/13 13:01:14.573, 0, 4.69, 38, 0
2026/02/13 13:01:15.573, 0, 4.62, 38, 0
2026/02/13 13:01:16.574, 0, 4.60, 38, 0
2026/02/13 13:01:17.574, 0, 4.65, 38, 0
2026/02/13 13:01:18.574, 0, 4.67, 38, 0
2026/02/13 13:01:19.575, 0, 4.64, 38, 0
2026/02/13 13:01:20.575, 0, 4.67, 38, 0
2026/02/13 13:01:21.575, 0, 4.69, 38, 0
2026/02/13 13:01:22.575, 0, 4.67, 38, 0
2026/02/13 13:01:23.575, 0, 4.63, 38, 0
2026/02/13 13:01:24.576, 0, 4.62, 38, 0
2026/02/13 13:01:25.576, 0, 4.62, 38, 0
2026/02/13 13:01:26.576, 0, 4.61, 38, 0
2026/02/13 13:01:27.576, 0, 4.60, 38, 0
2026/02/13 13:01:28.576, 0, 4.71, 38, 0
2026/02/13 13:01:29.576, 0, 4.71, 38, 0
2026/02/13 13:01:30.577, 0, 4.62, 38, 0
2026/02/13 13:01:31.577, 0, 4.61, 38, 0
2026/02/13 13:01:32.577, 0, 4.59, 38, 0
2026/02/13 13:01:33.577, 0, 4.54, 38, 0
2026/02/13 13:01:34.577, 0, 4.57, 38, 0
2026/02/13 13:01:35.578, 0, 4.61, 38, 0
2026/02/13 13:01:36.578, 0, 4.61, 38, 0
2026/02/13 13:01:37.578, 0, 4.58, 38, 0
2026/02/13 13:01:38.578, 0, 4.59, 38, 0
2026/02/13 13:01:39.579, 0, 4.59, 38, 0
2026/02/13 13:01:40.579, 0, 4.58, 38, 0
2026/02/13 13:01:41.579, 0, 4.58, 38, 0
2026/02/13 13:01:42.579, 0, 4.67, 38, 0
2026/02/13 13:01:43.580, 0, 4.65, 38, 0
2026/02/13 13:01:44.580, 0, 4.59, 38, 0
2026/02/13 13:01:45.580, 0, 4.54, 38, 0
2026/02/13 13:01:46.581, 0, 4.55, 38, 0
2026/02/13 13:01:47.581, 0, 4.56, 38, 0
2026/02/13 13:01:48.581, 0, 4.59, 38, 0
2026/02/13 13:01:49.581, 0, 4.64, 38, 0
2026/02/13 13:01:50.581, 0, 4.65, 38, 0
2026/02/13 13:01:51.581, 0, 4.57, 38, 0
2026/02/13 13:01:52.582, 0, 4.56, 38, 0
2026/02/13 13:01:53.582, 0, 4.60, 38, 0
2026/02/13 13:01:54.582, 0, 4.53, 38, 0
2026/02/13 13:01:55.582, 0, 4.56, 38, 0
2026/02/13 13:01:56.583, 0, 4.59, 38, 0
2026/02/13 13:01:57.583, 0, 4.61, 38, 0
2026/02/13 13:01:58.583, 0, 4.55, 38, 0
2026/02/13 13:01:59.583, 0, 4.58, 38, 0
2026/02/13 13:02:00.583, 0, 4.59, 38, 0
2026/02/13 13:02:01.583, 0, 4.63, 38, 0
2026/02/13 13:02:02.584, 0, 4.56, 38, 0
2026/02/13 13:02:03.584, 0, 4.61, 38, 0
2026/02/13 13:02:04.584, 0, 4.64, 38, 0
2026/02/13 13:02:05.584, 0, 4.54, 38, 0
2026/02/13 13:02:06.584, 0, 4.55, 38, 0
2026/02/13 13:02:07.584, 0, 4.57, 38, 0
2026/02/13 13:02:08.585, 0, 4.57, 38, 0
2026/02/13 13:02:09.585, 0, 4.60, 38, 0
2026/02/13 13:02:10.585, 0, 4.64, 38, 1
2026/02/13 13:02:11.586, 0, 4.67, 38, 0
2026/02/13 13:02:12.586, 0, 4.67, 38, 0
2026/02/13 13:02:13.586, 0, 4.64, 38, 0
2026/02/13 13:02:14.586, 0, 4.64, 38, 0
2026/02/13 13:02:15.586, 0, 4.63, 38, 0
2026/02/13 13:02:16.586, 0, 4.63, 38, 0
2026/02/13 13:02:17.587, 0, 4.66, 38, 0
2026/02/13 13:02:18.587, 0, 4.64, 38, 0
2026/02/13 13:02:19.587, 0, 4.64, 38, 0
2026/02/13 13:02:20.587, 0, 4.57, 38, 0
2026/02/13 13:02:21.587, 0, 4.56, 38, 0
2026/02/13 13:02:22.588, 0, 4.56, 38, 0
2026/02/13 13:02:23.588, 0, 4.58, 38, 0
2026/02/13 13:02:24.588, 0, 4.60, 38, 0
