timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 03:31:01.084, 0, 5.33, 54, 0
2026/02/13 03:31:02.091, 0, 5.38, 54, 0
2026/02/13 03:31:03.091, 0, 5.38, 54, 0
2026/02/13 03:31:04.092, 0, 5.39, 54, 0
2026/02/13 03:31:05.092, 0, 5.30, 53, 0
2026/02/13 03:31:06.093, 0, 5.36, 53, 0
2026/02/13 03:31:07.093, 0, 5.40, 53, 0
2026/02/13 03:31:08.094, 0, 5.40, 53, 0
2026/02/13 03:31:09.094, 0, 5.27, 52, 0
2026/02/13 03:31:10.094, 0, 8.84, 52, 0
2026/02/13 03:31:11.095, 0, 12.58, 52, 3
2026/02/13 03:31:12.095, 0, 12.73, 52, 2
2026/02/13 03:31:13.095, 0, 12.85, 52, 2
2026/02/13 03:31:14.095, 0, 12.85, 52, 2
2026/02/13 03:31:15.096, 0, 12.86, 52, 2
2026/02/13 03:31:16.096, 0, 12.84, 52, 2
2026/02/13 03:31:17.096, 0, 12.82, 52, 2
2026/02/13 03:31:18.096, 0, 12.81, 52, 2
2026/02/13 03:31:19.096, 0, 12.76, 51, 2
2026/02/13 03:31:20.096, 0, 12.73, 51, 2
2026/02/13 03:31:21.097, 0, 12.72, 51, 2
2026/02/13 03:31:22.097, 0, 12.70, 51, 2
2026/02/13 03:31:23.097, 0, 12.63, 51, 2
2026/02/13 03:31:24.097, 0, 12.63, 51, 2
2026/02/13 03:31:25.097, 0, 12.62, 51, 2
2026/02/13 03:31:26.097, 0, 12.59, 51, 2
2026/02/13 03:31:27.097, 0, 12.56, 50, 2
2026/02/13 03:31:28.098, 0, 12.55, 50, 2
2026/02/13 03:31:29.098, 0, 12.55, 50, 2
2026/02/13 03:31:30.098, 0, 12.49, 50, 2
2026/02/13 03:31:31.098, 0, 12.50, 50, 2
2026/02/13 03:31:32.098, 0, 12.52, 50, 2
2026/02/13 03:31:33.099, 0, 12.51, 50, 2
2026/02/13 03:31:34.099, 0, 12.52, 50, 2
2026/02/13 03:31:35.099, 0, 12.49, 50, 2
2026/02/13 03:31:36.099, 0, 12.48, 50, 2
2026/02/13 03:31:37.100, 0, 12.48, 50, 2
2026/02/13 03:31:38.100, 0, 12.43, 49, 2
2026/02/13 03:31:39.100, 0, 12.42, 49, 2
2026/02/13 03:31:40.100, 0, 12.41, 49, 2
2026/02/13 03:31:41.101, 0, 12.42, 49, 2
2026/02/13 03:31:42.101, 0, 12.45, 49, 2
2026/02/13 03:31:43.101, 0, 12.41, 49, 2
2026/02/13 03:31:44.101, 0, 12.41, 49, 2
2026/02/13 03:31:45.102, 0, 12.40, 49, 2
2026/02/13 03:31:46.102, 0, 12.44, 49, 2
2026/02/13 03:31:47.102, 0, 12.41, 49, 2
2026/02/13 03:31:48.102, 0, 12.37, 49, 2
2026/02/13 03:31:49.103, 0, 12.41, 49, 1
2026/02/13 03:31:50.103, 0, 12.41, 48, 2
2026/02/13 03:31:51.103, 0, 12.30, 48, 2
2026/02/13 03:31:52.103, 0, 12.38, 48, 2
2026/02/13 03:31:53.103, 0, 12.40, 48, 2
2026/02/13 03:31:54.103, 0, 12.38, 48, 2
2026/02/13 03:31:55.104, 0, 12.34, 48, 2
2026/02/13 03:31:56.104, 0, 12.35, 48, 2
2026/02/13 03:31:57.104, 0, 12.35, 48, 2
2026/02/13 03:31:58.105, 0, 12.29, 48, 2
2026/02/13 03:31:59.105, 0, 12.32, 48, 2
2026/02/13 03:32:00.105, 0, 12.28, 48, 2
2026/02/13 03:32:01.106, 0, 12.32, 48, 2
2026/02/13 03:32:02.106, 0, 12.29, 48, 2
2026/02/13 03:32:03.106, 0, 12.28, 48, 2
2026/02/13 03:32:04.106, 0, 12.28, 48, 2
2026/02/13 03:32:05.106, 0, 12.30, 48, 2
2026/02/13 03:32:06.107, 0, 12.28, 48, 2
2026/02/13 03:32:07.107, 0, 12.29, 47, 2
2026/02/13 03:32:08.107, 0, 12.25, 47, 2
2026/02/13 03:32:09.107, 0, 12.25, 47, 2
2026/02/13 03:32:10.107, 0, 12.25, 47, 2
2026/02/13 03:32:11.108, 0, 12.24, 47, 2
2026/02/13 03:32:12.108, 0, 12.27, 47, 2
2026/02/13 03:32:13.109, 0, 12.20, 47, 0
2026/02/13 03:32:14.109, 0, 12.23, 47, 2
2026/02/13 03:32:15.109, 0, 12.14, 47, 2
2026/02/13 03:32:16.109, 0, 12.19, 47, 2
2026/02/13 03:32:17.110, 0, 12.16, 47, 1
2026/02/13 03:32:18.110, 0, 12.18, 47, 2
2026/02/13 03:32:19.110, 0, 12.27, 47, 2
2026/02/13 03:32:20.111, 0, 12.27, 47, 2
2026/02/13 03:32:21.111, 0, 12.26, 47, 2
2026/02/13 03:32:22.111, 0, 12.23, 47, 2
2026/02/13 03:32:23.111, 0, 12.23, 47, 2
2026/02/13 03:32:24.112, 0, 12.20, 47, 2
2026/02/13 03:32:25.112, 0, 12.19, 47, 2
2026/02/13 03:32:26.112, 0, 12.16, 47, 2
2026/02/13 03:32:27.112, 0, 12.19, 46, 2
2026/02/13 03:32:28.112, 0, 12.18, 46, 2
2026/02/13 03:32:29.113, 0, 12.12, 46, 2
2026/02/13 03:32:30.113, 0, 12.15, 46, 2
2026/02/13 03:32:31.113, 0, 12.15, 46, 2
2026/02/13 03:32:32.113, 0, 12.15, 46, 2
2026/02/13 03:32:33.114, 0, 11.76, 46, 0
2026/02/13 03:32:34.114, 0, 11.68, 46, 0
2026/02/13 03:32:35.115, 0, 11.76, 46, 0
2026/02/13 03:32:36.116, 0, 52.07, 55, 93
2026/02/13 03:32:37.116, 0, 47.43, 48, 93
2026/02/13 03:32:38.116, 0, 13.15, 47, 21
2026/02/13 03:32:39.117, 0, 13.79, 47, 23
2026/02/13 03:32:40.117, 0, 13.76, 47, 18
2026/02/13 03:32:41.117, 0, 12.43, 47, 13
2026/02/13 03:32:42.118, 0, 12.28, 47, 0
2026/02/13 03:32:43.118, 0, 56.75, 56, 96
2026/02/13 03:32:44.119, 0, 60.03, 55, 96
2026/02/13 03:32:45.120, 0, 51.58, 53, 86
2026/02/13 03:32:46.120, 0, 42.60, 54, 87
2026/02/13 03:32:47.121, 0, 36.77, 52, 84
2026/02/13 03:32:48.121, 0, 29.59, 51, 59
2026/02/13 03:32:49.122, 0, 36.09, 54, 78
2026/02/13 03:32:50.122, 0, 37.21, 52, 87
2026/02/13 03:32:51.123, 0, 30.59, 51, 85
2026/02/13 03:32:52.124, 0, 17.43, 49, 65
2026/02/13 03:32:53.124, 0, 66.43, 61, 96
2026/02/13 03:32:54.125, 0, 78.21, 63, 96
2026/02/13 03:32:55.125, 0, 84.41, 61, 96
2026/02/13 03:32:56.125, 0, 85.71, 64, 96
2026/02/13 03:32:57.125, 0, 84.91, 65, 96
2026/02/13 03:32:58.126, 0, 84.15, 64, 96
2026/02/13 03:32:59.127, 0, 45.79, 57, 96
2026/02/13 03:33:00.127, 0, 37.80, 57, 96
2026/02/13 03:33:01.128, 0, 37.74, 57, 96
2026/02/13 03:33:02.128, 0, 37.75, 57, 96
2026/02/13 03:33:03.128, 0, 37.70, 57, 96
2026/02/13 03:33:04.129, 0, 37.67, 57, 96
2026/02/13 03:33:05.130, 0, 37.69, 57, 96
2026/02/13 03:33:06.130, 0, 37.65, 57, 96
2026/02/13 03:33:07.131, 0, 37.60, 57, 96
2026/02/13 03:33:08.131, 0, 37.65, 57, 96
2026/02/13 03:33:09.131, 0, 37.74, 57, 96
2026/02/13 03:33:10.131, 0, 37.71, 57, 96
2026/02/13 03:33:11.132, 0, 37.72, 57, 96
2026/02/13 03:33:12.133, 0, 37.72, 57, 95
2026/02/13 03:33:13.133, 0, 37.68, 57, 96
2026/02/13 03:33:14.133, 0, 37.60, 57, 96
2026/02/13 03:33:15.134, 0, 37.58, 57, 96
2026/02/13 03:33:16.135, 0, 37.58, 57, 96
2026/02/13 03:33:17.135, 0, 37.57, 58, 96
2026/02/13 03:33:18.136, 0, 37.58, 57, 96
2026/02/13 03:33:19.137, 0, 37.64, 57, 96
2026/02/13 03:33:20.137, 0, 37.63, 58, 96
2026/02/13 03:33:21.138, 0, 37.63, 58, 96
2026/02/13 03:33:22.138, 0, 37.60, 58, 96
2026/02/13 03:33:23.139, 0, 37.61, 58, 96
2026/02/13 03:33:24.140, 0, 37.58, 58, 96
2026/02/13 03:33:25.140, 0, 37.54, 58, 96
2026/02/13 03:33:26.140, 0, 37.53, 58, 96
2026/02/13 03:33:27.141, 0, 37.51, 58, 96
2026/02/13 03:33:28.141, 0, 37.49, 58, 96
2026/02/13 03:33:29.142, 0, 37.55, 58, 96
2026/02/13 03:33:30.143, 0, 37.49, 58, 96
2026/02/13 03:33:31.143, 0, 37.53, 58, 95
2026/02/13 03:33:32.144, 0, 37.49, 58, 96
2026/02/13 03:33:33.145, 0, 37.42, 58, 96
2026/02/13 03:33:34.145, 0, 37.53, 58, 96
2026/02/13 03:33:35.146, 0, 37.46, 58, 96
2026/02/13 03:33:36.146, 0, 37.41, 58, 96
2026/02/13 03:33:37.147, 0, 37.42, 58, 96
2026/02/13 03:33:38.148, 0, 37.39, 58, 96
2026/02/13 03:33:39.148, 0, 37.43, 58, 96
2026/02/13 03:33:40.149, 0, 37.44, 58, 96
2026/02/13 03:33:41.149, 0, 37.45, 58, 96
2026/02/13 03:33:42.150, 0, 37.39, 58, 96
2026/02/13 03:33:43.151, 0, 37.39, 58, 96
2026/02/13 03:33:44.151, 0, 37.42, 58, 96
2026/02/13 03:33:45.151, 0, 37.33, 58, 96
2026/02/13 03:33:46.151, 0, 37.33, 58, 96
2026/02/13 03:33:47.152, 0, 37.33, 58, 96
2026/02/13 03:33:48.152, 0, 37.29, 59, 96
2026/02/13 03:33:49.152, 0, 37.29, 59, 96
2026/02/13 03:33:50.153, 0, 37.35, 59, 96
2026/02/13 03:33:51.153, 0, 37.33, 59, 96
2026/02/13 03:33:52.154, 0, 37.32, 59, 96
2026/02/13 03:33:53.155, 0, 37.31, 59, 96
2026/02/13 03:33:54.156, 0, 37.31, 59, 96
2026/02/13 03:33:55.156, 0, 37.23, 59, 96
