timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/13 07:17:39.494, 0, 5.38, 54, 0
2026/02/13 07:17:40.503, 0, 5.29, 53, 0
2026/02/13 07:17:41.503, 0, 5.30, 53, 0
2026/02/13 07:17:42.504, 0, 5.30, 53, 0
2026/02/13 07:17:43.505, 0, 5.28, 52, 0
2026/02/13 07:17:44.506, 0, 5.31, 52, 0
2026/02/13 07:17:45.506, 0, 5.30, 52, 0
2026/02/13 07:17:46.506, 0, 5.29, 52, 0
2026/02/13 07:17:47.506, 0, 5.23, 51, 0
2026/02/13 07:17:48.507, 0, 5.22, 51, 0
2026/02/13 07:17:49.507, 0, 5.21, 51, 0
2026/02/13 07:17:50.508, 0, 6.04, 51, 0
2026/02/13 07:17:51.509, 0, 12.27, 51, 0
2026/02/13 07:17:52.509, 0, 12.32, 51, 0
2026/02/13 07:17:53.509, 0, 12.59, 51, 1
2026/02/13 07:17:54.509, 0, 12.59, 51, 1
2026/02/13 07:17:55.509, 0, 12.60, 51, 1
2026/02/13 07:17:56.510, 0, 12.61, 51, 1
2026/02/13 07:17:57.510, 0, 12.57, 51, 1
2026/02/13 07:17:58.510, 0, 12.51, 50, 2
2026/02/13 07:17:59.510, 0, 12.56, 50, 1
2026/02/13 07:18:00.510, 0, 12.59, 50, 1
2026/02/13 07:18:01.511, 0, 12.56, 50, 1
2026/02/13 07:18:02.511, 0, 12.53, 50, 1
2026/02/13 07:18:03.511, 0, 12.51, 50, 1
2026/02/13 07:18:04.511, 0, 12.53, 50, 1
2026/02/13 07:18:05.512, 0, 12.48, 50, 2
2026/02/13 07:18:06.512, 0, 12.52, 50, 2
2026/02/13 07:18:07.512, 0, 12.53, 49, 2
2026/02/13 07:18:08.512, 0, 12.49, 49, 1
2026/02/13 07:18:09.513, 0, 12.45, 49, 1
2026/02/13 07:18:10.513, 0, 12.48, 49, 2
2026/02/13 07:18:11.513, 0, 12.45, 49, 1
2026/02/13 07:18:12.513, 0, 12.41, 49, 1
2026/02/13 07:18:13.513, 0, 12.39, 49, 1
2026/02/13 07:18:14.514, 0, 12.39, 49, 1
2026/02/13 07:18:15.514, 0, 12.41, 49, 1
2026/02/13 07:18:16.514, 0, 12.40, 49, 1
2026/02/13 07:18:17.514, 0, 12.40, 49, 1
2026/02/13 07:18:18.514, 0, 12.35, 49, 1
2026/02/13 07:18:19.515, 0, 12.34, 49, 2
2026/02/13 07:18:20.515, 0, 12.36, 48, 1
2026/02/13 07:18:21.515, 0, 12.33, 48, 2
2026/02/13 07:18:22.516, 0, 12.33, 48, 1
2026/02/13 07:18:23.516, 0, 12.31, 48, 1
2026/02/13 07:18:24.516, 0, 12.32, 48, 2
2026/02/13 07:18:25.516, 0, 12.38, 48, 2
2026/02/13 07:18:26.517, 0, 12.34, 48, 1
2026/02/13 07:18:27.517, 0, 12.33, 48, 1
2026/02/13 07:18:28.517, 0, 12.32, 48, 1
2026/02/13 07:18:29.517, 0, 12.32, 48, 2
