timestamp, index, power.draw [W], temperature.gpu, utilization.gpu [%]
2026/02/12 23:05:10.441, 0, 5.60, 59, 0
2026/02/12 23:05:11.449, 0, 5.65, 58, 0
2026/02/12 23:05:12.449, 0, 5.68, 58, 0
2026/02/12 23:05:13.449, 0, 5.68, 58, 0
2026/02/12 23:05:14.469, 0, 5.51, 58, 0
2026/02/12 23:05:15.470, 0, 5.50, 58, 0
2026/02/12 23:05:16.470, 0, 5.52, 58, 0
2026/02/12 23:05:17.470, 0, 6.79, 58, 0
2026/02/12 23:05:18.470, 0, 13.24, 58, 1
2026/02/12 23:05:19.470, 0, 13.31, 58, 3
2026/02/12 23:05:20.470, 0, 13.66, 58, 2
2026/02/12 23:05:21.471, 0, 13.64, 58, 2
2026/02/12 23:05:22.471, 0, 13.62, 58, 2
2026/02/12 23:05:23.471, 0, 13.60, 58, 2
2026/02/12 23:05:24.471, 0, 13.61, 57, 2
2026/02/12 23:05:25.471, 0, 13.61, 57, 2
2026/02/12 23:05:26.472, 0, 13.63, 57, 2
2026/02/12 23:05:27.472, 0, 13.59, 57, 2
2026/02/12 23:05:28.472, 0, 13.56, 57, 2
2026/02/12 23:05:29.472, 0, 13.54, 57, 2
2026/02/12 23:05:30.472, 0, 13.53, 57, 2
2026/02/12 23:05:31.472, 0, 13.52, 57, 2
2026/02/12 23:05:32.472, 0, 13.52, 57, 2
2026/02/12 23:05:33.473, 0, 13.48, 57, 2
2026/02/12 23:05:34.473, 0, 13.49, 57, 2
2026/02/12 23:05:35.473, 0, 13.48, 57, 2
2026/02/12 23:05:36.473, 0, 13.48, 56, 2
2026/02/12 23:05:37.473, 0, 13.50, 56, 2
2026/02/12 23:05:38.473, 0, 13.45, 56, 2
2026/02/12 23:05:39.474, 0, 13.43, 56, 2
2026/02/12 23:05:40.474, 0, 13.47, 56, 2
2026/02/12 23:05:41.474, 0, 13.46, 56, 2
2026/02/12 23:05:42.474, 0, 13.44, 56, 2
2026/02/12 23:05:43.474, 0, 13.42, 56, 2
2026/02/12 23:05:44.475, 0, 13.35, 56, 2
2026/02/12 23:05:45.475, 0, 13.39, 56, 2
2026/02/12 23:05:46.475, 0, 13.41, 56, 2
2026/02/12 23:05:47.475, 0, 13.39, 56, 2
2026/02/12 23:05:48.476, 0, 13.37, 56, 2
2026/02/12 23:05:49.476, 0, 13.31, 55, 2
2026/02/12 23:05:50.476, 0, 13.36, 55, 2
2026/02/12 23:05:51.476, 0, 13.34, 55, 2
2026/02/12 23:05:52.476, 0, 13.34, 55, 2
2026/02/12 23:05:53.476, 0, 13.35, 55, 2
2026/02/12 23:05:54.477, 0, 13.37, 55, 2
2026/02/12 23:05:55.477, 0, 13.35, 55, 2
2026/02/12 23:05:56.477, 0, 13.28, 55, 2
2026/02/12 23:05:57.477, 0, 13.28, 55, 2
2026/02/12 23:05:58.477, 0, 13.23, 55, 2
2026/02/12 23:05:59.477, 0, 13.29, 55, 2
2026/02/12 23:06:00.478, 0, 13.31, 55, 2
2026/02/12 23:06:01.478, 0, 13.31, 55, 2
2026/02/12 23:06:02.478, 0, 13.25, 55, 2
2026/02/12 23:06:03.478, 0, 13.24, 55, 2
2026/02/12 23:06:04.478, 0, 13.27, 55, 2
2026/02/12 23:06:05.478, 0, 13.24, 55, 2
2026/02/12 23:06:06.478, 0, 13.27, 54, 2
2026/02/12 23:06:07.479, 0, 13.24, 54, 2
2026/02/12 23:06:08.479, 0, 13.24, 54, 2
2026/02/12 23:06:09.479, 0, 13.22, 54, 2
2026/02/12 23:06:10.479, 0, 13.23, 54, 2
2026/02/12 23:06:11.479, 0, 13.25, 54, 2
2026/02/12 23:06:12.480, 0, 13.24, 54, 2
2026/02/12 23:06:13.480, 0, 13.23, 54, 2
2026/02/12 23:06:14.480, 0, 13.22, 54, 2
2026/02/12 23:06:15.480, 0, 13.20, 54, 2
2026/02/12 23:06:16.480, 0, 13.17, 54, 2
2026/02/12 23:06:17.480, 0, 13.18, 54, 2
2026/02/12 23:06:18.481, 0, 13.18, 54, 2
2026/02/12 23:06:19.481, 0, 13.14, 54, 2
2026/02/12 23:06:20.481, 0, 13.08, 54, 2
2026/02/12 23:06:21.481, 0, 13.17, 54, 2
2026/02/12 23:06:22.481, 0, 13.13, 54, 2
2026/02/12 23:06:23.481, 0, 13.18, 54, 2
2026/02/12 23:06:24.482, 0, 13.17, 54, 2
2026/02/12 23:06:25.482, 0, 13.14, 54, 2
2026/02/12 23:06:26.482, 0, 13.16, 53, 2
2026/02/12 23:06:27.482, 0, 13.16, 53, 2
2026/02/12 23:06:28.482, 0, 13.15, 53, 2
2026/02/12 23:06:29.483, 0, 13.15, 53, 2
2026/02/12 23:06:30.483, 0, 13.17, 53, 2
2026/02/12 23:06:31.483, 0, 13.11, 53, 2
2026/02/12 23:06:32.483, 0, 13.12, 53, 2
2026/02/12 23:06:33.483, 0, 13.12, 53, 2
2026/02/12 23:06:34.483, 0, 13.13, 53, 2
2026/02/12 23:06:35.484, 0, 13.16, 53, 2
2026/02/12 23:06:36.484, 0, 13.10, 53, 2
2026/02/12 23:06:37.484, 0, 13.06, 53, 2
2026/02/12 23:06:38.484, 0, 13.09, 53, 2
2026/02/12 23:06:39.484, 0, 13.11, 53, 2
2026/02/12 23:06:40.485, 0, 12.55, 53, 0
2026/02/12 23:06:41.485, 0, 12.44, 53, 0
2026/02/12 23:06:42.485, 0, 12.48, 53, 0
2026/02/12 23:06:43.486, 0, 52.39, 61, 92
2026/02/12 23:06:44.486, 0, 50.90, 54, 93
2026/02/12 23:06:45.486, 0, 13.90, 54, 23
2026/02/12 23:06:46.487, 0, 14.61, 54, 22
2026/02/12 23:06:47.487, 0, 14.66, 54, 22
2026/02/12 23:06:48.487, 0, 13.90, 54, 0
2026/02/12 23:06:49.487, 0, 13.98, 54, 0
2026/02/12 23:06:50.488, 0, 29.73, 57, 29
2026/02/12 23:06:51.488, 0, 69.60, 64, 96
2026/02/12 23:06:52.489, 0, 56.98, 62, 85
2026/02/12 23:06:53.489, 0, 47.89, 61, 87
2026/02/12 23:06:54.490, 0, 42.93, 60, 86
2026/02/12 23:06:55.490, 0, 31.98, 59, 77
2026/02/12 23:06:56.491, 0, 29.83, 60, 78
2026/02/12 23:06:57.491, 0, 41.78, 60, 96
2026/02/12 23:06:58.491, 0, 34.81, 59, 79
2026/02/12 23:06:59.492, 0, 28.92, 60, 73
